"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.9767478189,       1.026936993,      -17.85580375,      0.9766158704,       4.833944295
          0,           0,           1,     -0.8052986896,       2.225612873,       1.777019185,       4.242689389,        8.07462795
          0,           0,           2,      -1.109395656,       1.618553027,       1.208544722,       3.642425379,        7.47453143
          0,           0,           3,      -1.031015664,       1.608192757,      0.9752694254,       3.042321317,       6.874595255
          0,           0,           4,      -1.387347581,       1.124032446,       0.904476835,       2.443792934,       6.276401328
          0,           0,           5,      -1.548089128,      0.3987778004,      0.3488765599,       1.847685807,       5.680812447
          0,           0,           6,      -1.639183126,       0.517029988,      0.3830309117,       1.255176335,       5.089153019
          0,           0,           7,      -1.847117169,      0.4433894988,       0.210778453,      0.6726395493,       4.508286103
          0,           0,           8,      -2.052121796,       0.282440429,      0.1433056132,      0.1081246795,       3.946951217
          0,           0,           9,      -2.179594533,      0.2993394417,      0.1389880353,     -0.4272219726,       3.417010912
          0,           0,          10,      -2.259389703,      0.3221209611,      0.1701418011,     -0.9184741845,       2.933745456
          0,           0,          11,       -2.34877719,      0.3366347246,      0.1977910825,        -1.3087384,       2.554962246
          0,           0,          12,       -2.38597647,      0.3676117374,      0.2254069024,      -1.665828027,       2.202154395
          0,           0,          13,      -2.417031007,      0.3870419897,      0.2415896743,      -1.819513329,        2.04253664
          0,           0,          14,      -2.427093885,      0.4040683995,      0.2606492417,      -2.004576006,       1.817991461
          0,           0,          15,      -2.407630317,      0.4201565845,      0.2788623682,      -2.094884717,       1.651229315
          0,           0,          16,      -2.401747354,       0.431863639,      0.2809670774,      -2.104123702,       1.554529575
          0,           0,          17,      -2.396883127,      0.4407624192,      0.2843953159,      -2.088454468,       1.460505416
          0,           0,          18,      -2.372623266,      0.4479198608,      0.2937583788,      -2.050545477,       1.413485448
          0,           0,          19,      -2.342157636,      0.4590135812,      0.3053072264,      -2.009053586,       1.377674933
          0,           0,          20,      -2.338998083,      0.4669077627,       0.303280846,      -1.962769958,       1.349416354
          0,           0,          21,      -2.337348549,        0.47272331,      0.2969361264,      -1.910224669,       1.333285952
          0,           0,          22,      -2.320964773,        0.47873168,      0.2998663733,      -1.856645868,       1.311348582
          0,           0,          23,      -2.331016118,      0.4832399852,      0.2942603228,       -1.79928794,       1.294525615
          0,           0,          24,      -2.325466919,      0.4856806204,      0.2906421751,      -1.742783764,       1.276975403
          0,           0,          25,      -2.299134634,      0.4867594116,      0.2887851122,       -1.68604648,       1.263052987
          0,           0,          26,      -2.316699663,      0.4902331473,       0.282595047,      -1.629203427,       1.255204851
          0,           0,          27,      -2.289491949,      0.4948363265,      0.2856195675,      -1.572620019,       1.243776818
          0,           0,          28,      -2.285549138,      0.5015417744,      0.2821932581,      -1.510557808,       1.233076884
          0,           0,          29,      -2.274250427,      0.5024879111,      0.2796078482,      -1.438720345,       1.222646442
          0,           0,          30,       -2.24615953,      0.4940343142,      0.2905083454,      -1.339585049,       1.215758437
          0,           0,          31,      -2.221948025,      0.4578199342,      0.2988162407,      -1.296114078,       1.105640262
          0,           0,          32,      -2.255947268,      0.3766019356,      0.2779160073,        -1.2832108,      0.9634561375
          0,           0,          33,      -2.412108292,       0.268898831,      0.2197163653,      -1.262040586,      0.8568470487
          0,           0,          34,      -2.672899018,      0.1869907085,      0.1501180645,      -1.216880041,      0.7979954565
          0,           0,          35,      -2.811298161,      0.1473418847,     0.09928220819,      -1.153415886,      0.7652108905
          0,           0,          36,       -2.83333996,      0.1264593422,     0.06253142259,      -1.080721544,      0.7427105348
          0,           0,          37,      -2.881939377,      0.1112444871,     0.02470765003,      -1.003183646,      0.7232276942
          0,           0,          38,      -2.885352316,     0.09834559713,    -0.01568352393,     -0.9231809915,       0.702198667
          0,           0,          39,      -2.819914935,     0.08206514261,     -0.0516549767,     -0.8447091693,      0.6768655877
          0,           0,          40,      -2.760713297,     0.05736859054,    -0.07878253514,     -0.7719753934,      0.6564734708
          0,           0,          41,      -2.747936736,     0.02276311021,     -0.1016884066,     -0.7066563324,       0.617209895
          0,           0,          42,       -2.78224334,    -0.01929882857,     -0.1283476686,      -0.647118694,      0.5700326635
          0,           0,          43,      -2.844099734,     -0.0633146096,     -0.1634330458,     -0.5920765166,      0.5325016799
          0,           0,          44,      -2.917382795,     -0.1066723997,     -0.2074172776,     -0.5401018295,      0.4947090021
          0,           0,          45,       -2.98930625,     -0.1494749326,     -0.2585900476,     -0.4905355175,       0.452381076
          0,           0,          46,      -3.053023361,     -0.1929748145,     -0.3141488383,     -0.4433289697,      0.4086961748
          0,           0,          47,      -3.109829676,     -0.2384252552,     -0.3715260395,     -0.3984823805,      0.3610385266
          0,           0,          48,      -3.162075372,     -0.2864493092,     -0.4280639012,     -0.3564494999,      0.3119071855
          0,           0,          49,      -3.214770896,     -0.3369955971,     -0.4816388643,     -0.3169873943,      0.2681139268
          0,           0,          50,      -3.271560258,     -0.3893392157,     -0.5303741928,     -0.2803587452,      0.2286577169
          0,           0,          51,      -3.334667073,     -0.4421053609,     -0.5731500126,     -0.2466837869,      0.1903999251
          0,           0,          52,       -3.40340651,     -0.4931495549,     -0.6097864017,     -0.2155270406,      0.1541960839
          0,           0,          53,      -3.473441235,     -0.5401501257,     -0.6411802452,     -0.1864409656,      0.1192196017
          0,           0,          54,      -3.545316426,     -0.5820654481,     -0.6685629677,     -0.1590717293,     0.08789475129
          0,           0,          55,      -3.621755277,     -0.6190655045,       -0.69405715,     -0.1328879998,     0.06274028241
          0,           0,          56,      -3.694371892,     -0.6521384545,      -0.719429794,     -0.1072987735,     0.04206581972
          0,           0,          57,      -3.759002751,     -0.6830487677,     -0.7459666808,    -0.08229723597,     0.02565236532
          0,           0,          58,      -3.811890055,      -0.713233569,     -0.7743150778,    -0.05795148554,     0.01494414371
          0,           0,          59,      -3.850253224,     -0.7435434094,     -0.8045745733,    -0.03429637083,    0.007432992186
          0,           0,          60,      -3.873199249,     -0.7741508868,     -0.8364084316,    -0.01148790121,    0.001749741678
          0,           0,          61,      -3.881549793,     -0.8047567041,     -0.8690394215,     0.01037930348,   -0.002804689175
          0,           0,          62,      -3.877335805,     -0.8346387481,     -0.9013800847,     0.03118201535,   -0.006375590703
          0,           0,          63,      -3.864833443,      -0.862813883,     -0.9321497195,     0.05086979886,   -0.009686076331
          0,           0,          64,      -3.845597635,     -0.8880854923,     -0.9601711002,     0.06939618363,    -0.01139510874
          0,           0,          65,      -3.821867525,     -0.9095111716,     -0.9841923617,     0.08680089745,    -0.01219797656
          0,           0,          66,      -3.804311334,     -0.9266033293,      -1.003359449,      0.1032231826,    -0.01258588684
          0,           0,          67,       -3.78097415,     -0.9385557672,      -1.018679608,      0.1184669741,    -0.01050816085
          0,           0,          68,      -3.747368543,     -0.9455949747,      -1.029305278,       0.132666256,   -0.007643484044
          0,           0,          69,         -3.716331,      -0.947967643,      -1.036484504,      0.1457341154,   -0.003126021022
          0,           0,          70,      -3.685452359,     -0.9460854819,      -1.040645916,      0.1577459364,    0.001228541792
          0,           0,          71,      -3.656817218,     -0.9409204172,      -1.042391891,      0.1687700751,    0.004990783482
          0,           0,          72,       -3.63062486,     -0.9332024557,      -1.042387131,      0.1788407582,    0.008905985527
          0,           0,          73,      -3.604529239,     -0.9234690812,      -1.041182345,      0.1879371591,     0.01392745294
          0,           0,          74,      -3.578720414,     -0.9123422787,      -1.038704424,      0.1960769054,     0.01925305401
          0,           0,          75,       -3.55456024,     -0.9002155922,      -1.035273071,      0.2032352454,     0.02458078992
          0,           0,          76,      -3.531702932,     -0.8873964186,      -1.030913608,      0.2094255791,     0.03001247183
          0,           0,          77,      -3.512362108,     -0.8744552467,       -1.02529186,      0.2147524835,     0.03407789069
          0,           0,          78,      -3.493792888,     -0.8611017448,      -1.019820985,      0.2190065886,     0.04022069639
          0,           0,          79,      -3.473875154,     -0.8477147378,      -1.013367599,      0.2222504533,     0.04663492187
          0,           0,          80,      -3.455681361,     -0.8345179989,      -1.006565811,      0.2243525432,     0.05271952957
