"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,"sound_speed_outlet",       "CD"       ,       "CL"       
           0,         0.0103352,     -0.2783295657,         346.9159801,                 0,                 0
           1,      0.0105100005,     -0.9307418939,         346.1777466,                 0,                 0
           2,     0.01028580067,      -1.234796779,          345.665452,                 0,                 0
           3,      0.0103719255,       -1.46679778,         345.4098619,                 0,                 0
           4,      0.0105677606,      -1.548634792,         345.2986374,                 0,                 0
           5,     0.01063610067,      -1.830839936,         345.2537205,                 0,                 0
           6,     0.01054851486,      -2.037437743,         345.2230913,                 0,                 0
           7,     0.01048167562,      -2.230156121,         345.1966902,                 0,                 0
           8,     0.01045774511,       -2.37253747,         345.1726362,                 0,                 0
           9,      0.0104370207,      -2.430230256,         345.1564908,                 0,                 0
          10,       0.010449537,      -2.449019015,         345.1485886,                 0,                 0
          11,       0.010483259,      -2.451104011,         345.1436326,                 0,                 0
          12,       0.010440193,      -2.445865573,         345.1387204,                 0,                 0
          13,      0.0104696935,      -2.444407969,          345.133727,                 0,                 0
          14,     0.01046992067,      -2.455449019,         345.1270176,                 0,                 0
          15,     0.01050767569,      -2.447392375,         345.1227625,                 0,                 0
          16,     0.01053439482,       -2.44026573,         345.1227333,                 0,                 0
          17,     0.01053796178,      -2.450259094,         345.1282678,                 0,                 0
          18,     0.01056211647,         -2.459317,         345.1510452,                 0,                 0
          19,      0.0105390057,      -2.471218513,         345.2093408,                 0,                 0
          20,     0.01055691971,      -2.494412934,         345.3230494,                 0,                 0
          21,     0.01054278705,      -2.501936442,         345.4741986,                 0,                 0
          22,     0.01054446591,      -2.519490496,         345.6203409,                 0,                 0
          23,     0.01053396738,      -2.530084246,         345.8179777,                 0,                 0
          24,     0.01052486468,      -2.517330915,          346.088984,                 0,                 0
          25,     0.01052157762,      -2.474295665,         346.3099083,                 0,                 0
          26,     0.01054636367,      -2.401467895,         346.3918989,                 0,                 0
          27,     0.01056712211,      -2.357620917,         346.3535404,                 0,                 0
          28,     0.01055655586,      -2.362701668,         346.2549955,                 0,                 0
          29,      0.0105534307,      -2.433581815,         346.1468968,                 0,                 0
          30,     0.01053369745,       -2.55014299,         346.0529491,                 0,                 0
          31,     0.01052401631,      -2.654292608,          345.980004,                 0,                 0
          32,      0.0105259007,      -2.707428278,         345.9258185,                 0,                 0
          33,     0.01053167718,      -2.741284582,         345.8857171,                 0,                 0
          34,     0.01053529783,      -2.768731294,          345.857338,                 0,                 0
          35,     0.01057378403,      -2.788329515,         345.8415876,                 0,                 0
          36,     0.01059185476,      -2.802373571,         345.8409359,                 0,                 0
          37,     0.01058423755,      -2.820253882,         345.8573211,                 0,                 0
          38,     0.01059473915,      -2.849397566,         345.8909088,                 0,                 0
          39,      0.0105915632,      -2.893383944,          345.939744,                 0,                 0
          40,     0.01058218851,      -2.950685876,          345.999983,                 0,                 0
          41,     0.01057577688,      -3.016324887,         346.0665321,                 0,                 0
          42,     0.01057195884,      -3.083951055,         346.1339512,                 0,                 0
          43,     0.01056349161,      -3.148326482,         346.1973885,                 0,                 0
          44,     0.01056374291,      -3.206043323,         346.2533198,                 0,                 0
          45,     0.01055160287,      -3.254903387,         346.2998796,                 0,                 0
          46,     0.01055368368,      -3.293650092,         346.3367384,                 0,                 0
          47,     0.01055135279,      -3.322905989,         346.3647315,                 0,                 0
          48,     0.01055356192,      -3.345683832,          346.385346,                 0,                 0
          49,      0.0105520547,       -3.36589827,         346.4002516,                 0,                 0
          50,     0.01054899286,      -3.386207687,         346.4109353,                 0,                 0
          51,     0.01054479108,      -3.406798157,          346.418507,                 0,                 0
          52,     0.01054295542,      -3.425125292,         346.4236633,                 0,                 0
          53,     0.01054783219,      -3.436766504,         346.4267505,                 0,                 0
          54,     0.01055002798,      -3.437297338,         346.4278661,                 0,                 0
          55,      0.0105403257,      -3.424421561,         346.4269808,                 0,                 0
          56,     0.01054115509,      -3.399783168,         346.4240478,                 0,                 0
          57,     0.01053221967,        -3.3663648,         346.4190665,                 0,                 0
          58,     0.01054522612,      -3.327531064,         346.4121128,                 0,                 0
          59,      0.0105494457,       -3.28583514,         346.4033484,                 0,                 0
          60,     0.01055128431,      -3.242926076,         346.3930124,                 0,                 0
          61,     0.01056108619,       -3.19983516,         346.3813986,                 0,                 0
          62,     0.01055829911,      -3.157266774,         346.3688254,                 0,                 0
          63,     0.01055797414,       -3.11577923,         346.3556073,                 0,                 0
          64,     0.01055494225,      -3.075850665,         346.3420334,                 0,                 0
          65,     0.01056180373,      -3.037912915,         346.3283523,                 0,                 0
          66,     0.01056231563,      -3.002358244,         346.3147667,                 0,                 0
          67,     0.01055749188,      -2.969549917,         346.3014365,                 0,                 0
          68,      0.0105579978,      -2.939831166,         346.2884815,                 0,                 0
          69,     0.01055529641,      -2.913523682,         346.2759877,                 0,                 0
          70,     0.01055919366,      -2.890928751,         346.2640164,                 0,                 0
          71,      0.0105580521,      -2.872329153,          346.252616,                 0,                 0
          72,     0.01056033632,      -2.857974568,         346.2418303,                 0,                 0
          73,     0.01056777503,      -2.848055467,         346.2317094,                 0,                 0
          74,     0.01056831937,      -2.842730754,         346.2223057,                 0,                 0
          75,     0.01056598754,      -2.842088742,          346.213668,                 0,                 0
          76,     0.01056618122,      -2.846138512,         346.2058444,                 0,                 0
          77,      0.0105669225,      -2.854818651,         346.1988826,                 0,                 0
          78,     0.01057396653,      -2.867995411,         346.1928264,                 0,                 0
          79,     0.01056916195,      -2.885464483,         346.1877148,                 0,                 0
          80,     0.01056927601,      -2.906951378,         346.1835693,                 0,                 0
          81,     0.01057400071,        -2.9321197,         346.1803987,                 0,                 0
          82,     0.01056746455,      -2.960586353,         346.1781999,                 0,                 0
          83,     0.01056833523,      -2.991941292,         346.1769547,                 0,                 0
          84,     0.01056663953,      -3.025755269,         346.1766316,                 0,                 0
          85,     0.01056526931,      -3.061645163,         346.1771831,                 0,                 0
          86,      0.0105617938,      -3.099239612,         346.1785489,                 0,                 0
          87,      0.0105668507,      -3.138131624,         346.1806586,                 0,                 0
          88,     0.01056417599,      -3.177965652,         346.1834373,                 0,                 0
          89,     0.01056351737,      -3.218418201,         346.1868018,                 0,                 0
          90,     0.01055911719,      -3.259191827,         346.1906643,                 0,                 0
          91,      0.0105606844,      -3.299966695,         346.1949369,                 0,                 0
          92,     0.01056341039,      -3.340463891,          346.199534,                 0,                 0
          93,      0.0105696124,      -3.380410036,          346.204374,                 0,                 0
          94,     0.01056699228,      -3.419572029,         346.2093818,                 0,                 0
          95,     0.01057199446,      -3.457722823,         346.2144904,                 0,                 0
          96,     0.01057553163,      -3.494681027,         346.2196418,                 0,                 0
          97,     0.01058382928,        -3.5302879,         346.2247872,                 0,                 0
          98,     0.01058271384,       -3.56444227,         346.2298875,                 0,                 0
          99,     0.01058262371,      -3.597069672,         346.2349127,                 0,                 0
         100,     0.01057621654,      -3.628145894,         346.2398402,                 0,                 0
         101,     0.01057762914,      -3.657661512,         346.2446537,                 0,                 0
         102,     0.01057961333,      -3.685640093,         346.2493438,                 0,                 0
         103,     0.01057986609,      -3.712105783,         346.2539069,                 0,                 0
         104,     0.01057824166,      -3.737094581,          346.258344,                 0,                 0
         105,     0.01057475448,      -3.760622306,         346.2626602,                 0,                 0
         106,       0.010572768,       -3.78270257,         346.2668634,                 0,                 0
         107,     0.01057440533,      -3.803338141,         346.2709633,                 0,                 0
         108,     0.01057494107,      -3.822533067,         346.2749714,                 0,                 0
         109,     0.01057083525,      -3.840290643,         346.2788995,                 0,                 0
         110,     0.01057578088,      -3.856627908,         346.2827596,                 0,                 0
         111,     0.01057839713,       -3.87157081,          346.286563,                 0,                 0
         112,     0.01057621133,      -3.885162031,         346.2903201,                 0,                 0
         113,     0.01057395071,      -3.897456754,         346.2940401,                 0,                 0
         114,      0.0105751694,      -3.908534702,         346.2977306,                 0,                 0
         115,     0.01057510674,      -3.918493577,          346.301398,                 0,                 0
         116,     0.01057838276,      -3.927446452,         346.3050473,                 0,                 0
         117,     0.01058127613,      -3.935517207,         346.3086821,                 0,                 0
         118,     0.01058454524,      -3.942831054,         346.3123048,                 0,                 0
         119,     0.01057757571,      -3.949513043,         346.3159165,                 0,                 0
         120,     0.01057190483,      -3.955681128,         346.3195173,                 0,                 0
         121,     0.01056974825,       -3.96145348,         346.3231062,                 0,                 0
         122,     0.01056575843,      -3.966949421,         346.3266815,                 0,                 0
         123,     0.01057103216,      -3.972287991,         346.3302408,                 0,                 0
         124,      0.0105717975,      -3.977574341,         346.3337812,                 0,                 0
         125,     0.01056683801,      -3.982888313,         346.3372995,                 0,                 0
         126,     0.01056652354,      -3.988273908,         346.3407928,                 0,                 0
         127,     0.01056495695,      -3.993745371,         346.3442579,                 0,                 0
         128,     0.01056972551,      -3.999289152,         346.3476925,                 0,                 0
         129,     0.01056951225,      -4.004893058,         346.3510945,                 0,                 0
         130,      0.0105698343,        -4.0105351,         346.3544623,                 0,                 0
         131,     0.01056930373,      -4.016203455,         346.3577953,                 0,                 0
         132,     0.01057054356,      -4.021890801,         346.3610935,                 0,                 0
         133,     0.01057250966,        -4.0275967,         346.3643578,                 0,                 0
         134,     0.01056779181,      -4.033313328,         346.3675897,                 0,                 0
         135,     0.01056753821,       -4.03901294,         346.3707915,                 0,                 0
         136,     0.01056569706,      -4.044652602,         346.3739658,                 0,                 0
         137,     0.01056591302,      -4.050186644,         346.3771159,                 0,                 0
         138,     0.01056206761,       -4.05561298,         346.3802454,                 0,                 0
         139,     0.01056018928,      -4.060955484,          346.383358,                 0,                 0
         140,     0.01055761631,      -4.066219766,         346.3864574,                 0,                 0
         141,     0.01055639718,      -4.071379546,         346.3895476,                 0,                 0
         142,     0.01055416015,      -4.076388028,         346.3926323,                 0,                 0
         143,     0.01054871599,      -4.081258042,         346.3957152,                 0,                 0
         144,     0.01054645932,      -4.086026921,         346.3987999,                 0,                 0
         145,     0.01054753358,      -4.090752022,         346.4018898,                 0,                 0
         146,      0.0105442837,      -4.095478466,         346.4049881,                 0,                 0
         147,     0.01054183719,      -4.100255912,         346.4080973,                 0,                 0
         148,     0.01053617252,      -4.105126314,         346.4112197,                 0,                 0
         149,     0.01053823537,       -4.11013842,         346.4143573,                 0,                 0
         150,     0.01053816626,       -4.11532238,         346.4175108,                 0,                 0
         151,     0.01053219347,      -4.120673153,         346.4206808,                 0,                 0
         152,     0.01053006345,      -4.126171005,          346.423867,                 0,                 0
         153,      0.0105272059,      -4.131791725,         346.4270692,                 0,                 0
         154,     0.01052518715,      -4.137522231,         346.4302866,                 0,                 0
         155,     0.01052248212,      -4.143347323,         346.4335181,                 0,                 0
         156,      0.0105189007,      -4.149235109,         346.4367623,                 0,                 0
         157,     0.01051700766,      -4.155147653,         346.4400174,                 0,                 0
         158,     0.01051562397,      -4.161054594,         346.4432813,                 0,                 0
         159,     0.01052023071,      -4.166936388,         346.4465518,                 0,                 0
         160,     0.01052273797,      -4.172781538,         346.4498264,                 0,                 0
         161,     0.01052548898,      -4.178573331,         346.4531021,                 0,                 0
         162,      0.0105242866,      -4.184293526,         346.4563762,                 0,                 0
         163,     0.01052162753,      -4.189922498,         346.4596456,                 0,                 0
         164,     0.01052156555,      -4.195449483,         346.4629074,                 0,                 0
         165,     0.01052040492,      -4.200875209,         346.4661586,                 0,                 0
         166,      0.0105194025,      -4.206208005,         346.4693961,                 0,                 0
         167,     0.01051918701,      -4.211460019,         346.4726171,                 0,                 0
         168,     0.01051938414,      -4.216644795,         346.4758183,                 0,                 0
         169,     0.01052199953,       -4.22177334,         346.4789969,                 0,                 0
         170,     0.01052600304,      -4.226860722,         346.4821496,                 0,                 0
         171,     0.01052298152,      -4.231922599,         346.4852734,                 0,                 0
         172,     0.01051954348,      -4.236981604,         346.4883652,                 0,                 0
         173,      0.0105202714,       -4.24206072,         346.4914219,                 0,                 0
         174,     0.01052528185,      -4.247186063,         346.4944403,                 0,                 0
         175,     0.01052321264,      -4.252387071,         346.4974177,                 0,                 0
         176,     0.01052587867,      -4.257694121,         346.5003511,                 0,                 0
         177,     0.01052605126,      -4.263136436,         346.5032378,                 0,                 0
         178,     0.01052814987,      -4.268744605,          346.506075,                 0,                 0
         179,     0.01053006682,      -4.274549362,         346.5088602,                 0,                 0
